hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 89641 Myhouse Inn,Bintulu,2.0,nan,nan,55012,Sarawak,Malaysia,6304637,booking
SPOT ON 89706 To-day Hotel,Sibu,2.0,7.5,7 reviews,48675,Sarawak,Malaysia,5965214,booking
OYO Home 44081 Irresistible Studio 3 Towers,"Ampang, Kuala Lumpur",nan,nan,nan,137181,Kuala Lumpur,Malaysia,5537840,booking
OYO 89840 69 Room 4 Stay,Sibu,2.0,nan,nan,60847,Sarawak,Malaysia,6139901,booking
OYO 1220 396 Home Sweet Home,Kuching,2.0,7.3,17 reviews,58754,Sarawak,Malaysia,5281930,booking
OYO 89544 Utama Inn,Bintulu,2.0,7.7,13 reviews,60847,Sarawak,Malaysia,5792601,booking
OYO 89663 Theatre Inn,Kampong Lamanak,3.0,8.6,10 reviews,74131,Sarawak,Malaysia,5911730,booking
OYO 89642 Highway Inn,Mukah,2.0,nan,nan,60847,Sarawak,Malaysia,6124672,booking
OYO 89627 Hotel Sarina,Mukah,2.0,5.5,10 reviews,56430,Sarawak,Malaysia,5985526,booking
SPOT ON 89805 The Traveler Home,Sibu,2.0,7.2,4 reviews,38729,Sarawak,Malaysia,6048794,booking
SPOT ON 89630 Hilltop Room,Kuching,2.0,6.1,18 reviews,46428,Sarawak,Malaysia,3822693,booking
OYO 89490 Hill Times Inn Hotel,Ipoh,2.0,7.1,82 reviews,67489,Ipoh,Malaysia,901554,booking
OYO 44019 Nas Hotel,Ipoh,2.0,8.0,80 reviews,108566,Ipoh,Malaysia,4244167,booking
OYO 89571 Eco Palace hotel,"Chow Kit, Kuala Lumpur",2.0,5.6,5 reviews,49273,Kuala Lumpur,Malaysia,4341602,booking
OYO Home 1205 Classy 1br Megan Embassy,"Kuala Lumpur City-Centre, Kuala Lumpur",nan,7.5,4 reviews,101478,Kuala Lumpur,Malaysia,5427573,booking
SPOT ON 89774 SIM Hotel,"Bukit Bintang, Kuala Lumpur",2.0,8.3,301 reviews,81863,Kuala Lumpur,Malaysia,1703034,booking
ZEN Rooms Basic Bukit Bintang,"Bukit Bintang, Kuala Lumpur",1.0,7.3,60 reviews,48664,Kuala Lumpur,Malaysia,2410842,booking
OYO Home 44018 Elegant Studio Vivo 9 Seputeh,Kuala Lumpur,nan,5.4,3 reviews,132109,Kuala Lumpur,Malaysia,5537512,booking
OYO Home 89416 Stylish 1br Summer Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",nan,nan,nan,161986,Kuala Lumpur,Malaysia,5632966,booking
OYO 44066 Unikarya Lodge,Kota Kinabalu,2.0,8.5,169 reviews,79660,Kota Kinabalu,Malaysia,2943399,booking
OYO 43993 Madsuite,Kota Kinabalu,2.0,8.0,193 reviews,98430,Kota Kinabalu,Malaysia,3235155,booking
OYO 89603 Treeline Urban Inn,Kota Kinabalu,2.0,8.3,23 reviews,84796,Kota Kinabalu,Malaysia,5632921,booking
OYO 746 Hotel Comfort,Ipoh,2.0,7.4,250 reviews,80764,Ipoh,Malaysia,4673379,booking
OYO Home 89467 Comfortable 2br Holiday Place,"Kuala Lumpur City-Centre, Kuala Lumpur",nan,nan,nan,186012,Kuala Lumpur,Malaysia,5670967,booking
OYO 252 Lotus Hotel,Seremban,2.0,7.6,701 reviews,97052,Negeri Sembilan,Malaysia,549555,booking
OYO 542 S2 Hotel,Seremban,2.0,7.7,557 reviews,98912,Negeri Sembilan,Malaysia,455069,booking
OYO 89676 Hotel 22,Seremban,2.0,4.1,14 reviews,86784,Negeri Sembilan,Malaysia,5908007,booking
SPOT ON 89707 RIVER VIEW GUEST HOUSE,Tranquerah,2.0,8.4,200 reviews,50900,Malacca,Malaysia,2780881,booking
OYO 89656 Melati Hotel Nilai,Nilai,2.0,3.7,11 reviews,55141,Negeri Sembilan,Malaysia,5877706,booking
OYO 1043 Get Inn Hotel Sendayan,Nilai,2.0,7.2,103 reviews,88250,Negeri Sembilan,Malaysia,4952663,booking
OYO Home 89526 Unbelievable Studio Megan Ambassy,"Kuala Lumpur City-Centre, Kuala Lumpur",nan,8.5,4 reviews,134973,Kuala Lumpur,Malaysia,5716199,booking
OYO 804 Hotel Pinji,Ipoh,2.0,7.6,590 reviews,87847,Ipoh,Malaysia,1896550,booking
OYO 1163 Hotel Pulai,Ipoh,2.0,7.6,113 reviews,97810,Ipoh,Malaysia,5281958,booking
OYO Home 89323 Terrific Studio Silka Maytower,"Golden Triangle, Kuala Lumpur",nan,4.5,3 reviews,104182,Kuala Lumpur,Malaysia,5589007,booking
Mendu Inn,Kuching,2.0,6.1,52 reviews,58600,Sarawak,Malaysia,5252745,booking
