hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 1165 Cakalang Residence Syariah,Malang,2.0,8.4,9 reviews,51470,Malang,Indonesia,5520428,booking
OYO 1455 Little Creek Family Stays Syariah,Malang,2.0,5.8,3 reviews,34370,Malang,Indonesia,5609471,booking
OYO 1293 Dei Residence Arjosari,"Blimbing, Malang",2.0,7.2,11 reviews,38687,Malang,Indonesia,5637052,booking
OYO 3471 O-lima Omah-ku,Malang,2.0,nan,nan,732396,Malang,Indonesia,6385642,booking
OYO 778 Residence Amalia Malang,"Simpang Ijen, Malang",2.0,7.4,39 reviews,54167,Malang,Indonesia,4635007,booking
SPOT ON 1711 Serayu Sumbersari,Malang,2.0,3.7,7 reviews,30415,Malang,Indonesia,4521014,booking
OYO 774 Villa 007 Sengkaling,Malang,2.0,8.5,27 reviews,39292,Malang,Indonesia,5009528,booking
OYO 1289 Cbr Residence,Malang,2.0,8.2,6 reviews,35818,Malang,Indonesia,5651065,booking
OYO Life 2662 Kost D&D Boarding House,Malang,2.0,nan,nan,52393,Malang,Indonesia,5994547,booking
OYO 517 Hotel Arjuna Lawang,Malang,2.0,7.7,6 reviews,180599,Malang,Indonesia,4684185,booking
OYO 3237 J250 Ladies Boarding House,Malang,2.0,nan,nan,54611,Malang,Indonesia,6295508,booking
OYO Life 2760 Kost Simpang Borobudur 47,Malang,2.0,nan,nan,44300,Malang,Indonesia,6016430,booking
OYO 2772 Jonas Residence,Malang,2.0,nan,nan,39707,Malang,Indonesia,351872,booking
OYO 2655 Rumah Kost Balqis,Malang,2.0,nan,nan,68878,Malang,Indonesia,5998653,booking
OYO 2295 Daffi Family Residence,"Blimbing, Malang",2.0,8.3,11 reviews,44836,Malang,Indonesia,5903348,booking
OYO 1218 Bam-Bam House,Malang,2.0,8.2,8 reviews,62828,Malang,Indonesia,5596634,booking
OYO 314 Emas 23 Residence Syaria,"Blimbing, Malang",2.0,8.1,21 reviews,29964,Malang,Indonesia,4465398,booking
OYO 302 Karolin Residence,Malang,2.0,9.4,7 reviews,30953,Malang,Indonesia,2337313,booking
OYO 2317 Griya Putri Syariah,Malang,2.0,nan,nan,35478,Malang,Indonesia,5903353,booking
RedDoorz @ Danau Bratan,Malang,nan,nan,nan,48151,Malang,Indonesia,5521055,booking
OYO 231 Hotel Andita Syariah,"Tegalsari, Surabaya",2.0,8.9,428 reviews,27172,Surabaya,Indonesia,4304735,booking
RedDoorz Plus near UIN Banjarmasin,Sungai Lutus,nan,8.7,5 reviews,56826,Banjarbaru,Indonesia,5135511,booking
OYO 850 Lapan Lapan,Banjarmasin,2.0,7.6,5 reviews,45983,Banjarbaru,Indonesia,3854061,booking
CAPITAL O 3433 Hotel Plaza,Manado,3.0,nan,nan,57985,Manado,Indonesia,6380233,booking
OYO 2486 Bahana Guest House,Manado,2.0,nan,nan,35880,Manado,Indonesia,5954208,booking
RedDoorz @ Malalayang Manado,Manado,2.0,5.7,6 reviews,61103,Manado,Indonesia,4096593,booking
RedDoorz Plus near Pojok Beteng 2,"Mantrijeron, Yogyakarta",nan,8.5,45 reviews,53406,Yogyakarta,Indonesia,4935556,booking
RedDoorz Plus @ Timoho,"Umbulharjo, Yogyakarta",3.0,7.4,95 reviews,49344,Yogyakarta,Indonesia,3254043,booking
RedDoorz @ Jalan Palagan,Yogyakarta,nan,6.6,6 reviews,50371,Yogyakarta,Indonesia,5077317,booking
RedDoorz Plus @ Taman Siswa 2,"Mergangsan, Yogyakarta",3.0,7.8,61 reviews,48089,Yogyakarta,Indonesia,3214993,booking
Venezia Homestay and Garden,"Mantrijeron, Yogyakarta",2.0,7.8,39 reviews,65066,Yogyakarta,Indonesia,2172147,booking
RedDoorz Plus near Alun Alun Selatan,"Mantrijeron, Yogyakarta",3.0,7.4,62 reviews,43155,Yogyakarta,Indonesia,3225840,booking
RedDoorz @ Pandega Padma,"Catur Tunggal, Yogyakarta",nan,8.0,19 reviews,50104,Yogyakarta,Indonesia,4935731,booking
OYO 1573 Mahera Residence,Manado,2.0,7.2,5 reviews,45873,Manado,Indonesia,5612935,booking
RedDoorz @ Jalan Ringroad Selatan,Yogyakarta,nan,7.8,24 reviews,56288,Yogyakarta,Indonesia,4215756,booking
Reddoorz near Rumah Sakit Condong Catur,Yogyakarta,nan,8.0,22 reviews,47002,Yogyakarta,Indonesia,4881104,booking
RedDoorz Plus near Tugu Jogja 2,"Tegalrejo, Yogyakarta",2.0,7.4,27 reviews,114522,Yogyakarta,Indonesia,3765750,booking
RedDoorz near Hartono Mall 3,Yogyakarta,nan,7.2,12 reviews,49344,Yogyakarta,Indonesia,4108593,booking
RedDoorz Plus @ Demangan Gejayan,"Catur Tunggal, Yogyakarta",nan,8.6,12 reviews,71157,Yogyakarta,Indonesia,4299521,booking
RedDoorz near Rumah Sakit Wirosaban,Yogyakarta,1.0,7.7,8 reviews,46857,Yogyakarta,Indonesia,4512418,booking
RedDoorz near Universitas Islam Indonesia,Yogyakarta,nan,8.5,4 reviews,89455,Yogyakarta,Indonesia,5200465,booking
RedDoorz @ Nologaten Ambarukmo,"Catur Tunggal, Yogyakarta",nan,6.6,4 reviews,47526,Yogyakarta,Indonesia,5310602,booking
RedDoorz Plus @ Taman Siswa 3,"Mergangsan, Yogyakarta",1.0,7.8,16 reviews,74014,Yogyakarta,Indonesia,4233517,booking
RedDoorz Plus near Stadion Mandala Krida,"Umbulharjo, Yogyakarta",2.0,7.1,32 reviews,43740,Yogyakarta,Indonesia,2168941,booking
RedDoorz near Malioboro Mall 2,"Danurejan, Yogyakarta",nan,7.6,33 reviews,51067,Yogyakarta,Indonesia,4826351,booking
RedDoorz near Malioboro Tugu Station Jogja,"Gedongtengen, Yogyakarta",2.0,7.2,97 reviews,64800,Yogyakarta,Indonesia,4464479,booking
RedDoorz near Jalan Ahmad Yani Banjarmasin,Banjarmasin,nan,7.2,13 reviews,50462,Banjarbaru,Indonesia,4022613,booking
OYO 1062 Virginia Residence,Manado,2.0,8.2,6 reviews,56227,Manado,Indonesia,3369038,booking
OYO 1720 A2b Residence,Manado,2.0,nan,nan,28214,Manado,Indonesia,5657636,booking
RedDoorz near Sam Ratulangi Airport,Manado,1.0,7.8,175 reviews,59337,Manado,Indonesia,4077504,booking
RedDoorz @ Jalan Pramuka Manado,Manado,2.0,7.6,7 reviews,77845,Manado,Indonesia,4077525,booking
RedDoorz Plus near Pantai Malalayang Manado,Manado,nan,8.5,29 reviews,47944,Manado,Indonesia,4957488,booking
RedDoorz near RSUP Prof. Kandou Manado,Manado,nan,8.3,31 reviews,70574,Manado,Indonesia,4077542,booking
RedDoorz Premium @ Sea Residence Manado,Manado,nan,4.5,4 reviews,77003,Manado,Indonesia,6100911,booking
RedDoorz @ Malalayang 2 Manado,Manado,nan,6.4,3 reviews,50227,Manado,Indonesia,4953053,booking
RedDoorz near Jalan Jenderal Sudirman,Manado,nan,7.3,38 reviews,62569,Manado,Indonesia,4096615,booking
OYO 3424 Hotel Bitung Plaza,Manado,2.0,nan,nan,29713,Manado,Indonesia,6381275,booking
OYO 1838 COZY Home,Manado,2.0,nan,nan,44318,Manado,Indonesia,5890760,booking
RedDoorz near Bethesda Manado,Manado,2.0,6.7,22 reviews,53037,Manado,Indonesia,4097731,booking
OYO 1318 Hotel Prince Boulevard,Manado,2.0,7.1,68 reviews,53164,Manado,Indonesia,334015,booking
RedDoorz Plus near Transmart Kairagi Dua manado,Manado,nan,nan,nan,51938,Manado,Indonesia,6105853,booking
OYO 1064 Manado Airport Residence,Manado,2.0,7.0,30 reviews,51183,Manado,Indonesia,5492609,booking
OYO 2639 Oxy Townhouse,Manado,2.0,nan,nan,39619,Manado,Indonesia,6025958,booking
RedDoorz Plus @ Jalan Pumorow Manado,Manado,nan,nan,nan,56306,Manado,Indonesia,6124807,booking
OYO 2566 Putri Kesia Rooms,Manado,2.0,nan,nan,30992,Manado,Indonesia,6005414,booking
OYO 1680 Hanna Residence,Manado,2.0,nan,nan,31042,Manado,Indonesia,5660850,booking
OYO 1769 Rid's Hotel,Manado,2.0,7.5,6 reviews,33561,Manado,Indonesia,5660865,booking
OYO 1306 Sammy Residence,Lombok,2.0,8.3,8 reviews,65493,Lombok,Indonesia,5444819,booking
OYO 1292 Lieke Residence,Manado,2.0,7.8,4 reviews,38586,Manado,Indonesia,5515793,booking
RedDoorz near Jalan Samratulangi 2 Manado,Manado,2.0,6.9,12 reviews,51352,Manado,Indonesia,4624061,booking
OYO 1693 Edward Residence Malalayang,Manado,2.0,nan,nan,52206,Manado,Indonesia,5249323,booking
OYO 1912 Kengkang Residence,Manado,2.0,nan,nan,32308,Manado,Indonesia,5783747,booking
Collection O 15 Taman Melati Merr Surabaya,"Mulyorejo, Surabaya",3.0,8.8,165 reviews,56972,Surabaya,Indonesia,5556219,booking
OYO 805 Hotel Dyan Graha,Pekanbaru,3.0,6.9,17 reviews,71599,Pekanbaru,Indonesia,260133,booking
OYO 1857 Wonoboyo Residence,"Wonokromo, Surabaya",2.0,7.3,8 reviews,31343,Surabaya,Indonesia,5744386,booking
OYO Flagship 1170 The Habitat Karawaci,Tangerang,3.0,7.8,24 reviews,63050,Tangerang,Indonesia,5475811,booking
