hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 472 Tang Cheng Holiday Hotel,Patong Beach,3.0,7.8,227 reviews,75864,Phuket,Thailand,3618951,booking
OYO Lake View Phuket Place,Phuket Town,nan,nan,nan,73640,Phuket,Thailand,6009889,booking
OYO 451 Samran Resort,Phuket Town,3.0,8.5,46 reviews,73488,Phuket,Thailand,5825683,booking
OYO 380 Jomthong Mansion,Phuket Town,2.0,nan,nan,76243,Phuket,Thailand,5708694,booking
OYO 453 Thai Boutique Resort,Phuket Town,2.0,8.4,4 reviews,101148,Phuket,Thailand,5807501,booking
OYO 435 Frame Residence,Phuket Town,2.0,8.1,17 reviews,72709,Phuket,Thailand,5736297,booking
OYO 301 Sivana Place,Phuket Town,2.0,nan,nan,183706,Phuket,Thailand,5649759,booking
OYO 282 Baan Nat,Phuket Town,nan,7.6,68 reviews,58595,Phuket,Thailand,378799,booking
OYO 610 Yamin Seaview Hotel,Phuket Town,4.0,8.7,18 reviews,65667,Phuket,Thailand,5765581,booking
OYO 778 21 Poshtel,Phuket Town,2.0,nan,nan,59391,Phuket,Thailand,6271038,booking
OYO 294 The Panwa Guesthouse,Panwa Beach,3.0,8.6,9 reviews,102797,Phuket,Thailand,280936,booking
OYO 232 Patong City Hometel,Patong Beach,3.0,7.6,263 reviews,103926,Phuket,Thailand,404294,booking
OYO 244 Roar Inn Patong,Patong Beach,3.0,8.0,483 reviews,71018,Phuket,Thailand,327660,booking
OYO 682 Fishering Home,Krabi town,2.0,nan,nan,61229,Krabi,Thailand,6151178,booking
OYO Phu Ching Resort,Krabi town,2.0,nan,nan,67622,Krabi,Thailand,6151192,booking
OYO 608 Maleena Home,Krabi town,2.0,nan,nan,61229,Krabi,Thailand,6044460,booking
OYO 747 Suwanna Hotel,Krabi town,3.0,nan,nan,73172,Krabi,Thailand,1458482,booking
OYO 255 The Ocean Hotel Patong,Patong Beach,3.0,7.7,95 reviews,80646,Phuket,Thailand,335257,booking
OYO 423 Baan Lucky Guesthouse,Karon Beach,nan,5.7,12 reviews,61185,Phuket,Thailand,2146109,booking
OYO 485 Million Patong Beach Resort,"Nanai Road, Patong Beach",2.0,6.8,16 reviews,57312,Phuket,Thailand,817640,booking
OYO 235 I Dee Hotel Patong,Patong Beach,3.0,6.8,13 reviews,146910,Phuket,Thailand,292254,booking
